Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7
IRB 1010-1.5/0.37,1,13.5,1.5,370,41.1,0.01,4111.1,414,6,IR,320,320,375,500,470,500,
IRB 1090-3.5/0.58,2,21,3.5,580,96.7,0.05,1933.3,302,6,IR,250,250,250,320,320,420,
IRB 1100-4/0.475,3,21,4,475,90.5,0.01,9047.6,475,6,IR,460,380,280,560,420,750,
RB 1100-4/0.58,4,21,4,580,110.5,0.01,11047.6,472,6,IR,460,360,280,560,420,750,
IRB 1200-7/0.7,5,52,7,700,94.2,0.02,4711.5,372,6,IR,288,240,297,400,405,600,
IRB 1200-5/0.9,6,54,5,900,83.3,0.025,3333.3,372,6,IR,288,240,297,400,405,600,
IRB 1200-7/0.7 Hygienic,7,52,7,700,94.2,0.02,4711.5,360,6,IR,280,230,290,380,380,600,
IRB 1200-5/0.9 Hygienic,8,54,5,900,83.3,0.025,3333.3,360,6,IR,280,230,290,380,380,600,
IRB 1300-11/0.9,9,75,11,900,132,0.02,6600,412,6,IR,280,228,330,500,415,720,
IRB 1300-10/1.15,10,77,10,1150,149.4,0.023,6493.5,413,6,IR,280,228,336,500,415,720,
IRB 1300-7/1.4,11,79,7,1400,124.1,0.03,4135,386,6,IR,255,180,247,500,415,720,
IRB 1300-12/1.4,12,79,12,1400,212.7,0.05,4253.2,348,6,IR,230,116,138,500,415,687,
IRB 1410,13,225,5,1440,32,0.025,1280,200,6,IR,120,120,120,280,280,280,
IRB 1520ID,14,170,4,1500,35.3,0.05,705.9,262,6,IR,130,140,140,320,380,460,
RB 1600-6/1.2,15,250,6,1200,28.8,0.02,1440,277,6,IR,150,160,170,320,400,460,
IRB 1600-6/1.45,16,250,6,1450,34.8,0.02,1740,277,6,IR,150,160,170,320,400,460,
IRB 1600-10/1.2,17,250,10,1200,48,0.02,2400,298,6,IR,180,180,185,385,400,460,
IRB 1600-10/1.45,18,250,10,1450,58,0.05,1160,298,6,IR,180,180,185,385,400,460,
