Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7
LR Mate 200 iD 4SH ,1,19,4,550,115.8,0.013,8906.9,700,5,IR,460,460,520,560,1500,,
LR Mate 200 iD 4S ,2,20,4,550,110,0.01,11000,577,6,IR,460,460,520,560,560,900,
LR Mate 200 iD 4SC ,3,20,4,550,110,0.013,8461.5,577,6,IR,460,460,520,560,560,900,
LR Mate 200 iD 7H ,4,24,7,717,209.1,0.018,11618.1,679,5,IR,450,380,520,545,1500,,
LR Mate 200 iD 7C ,5,25,7,717,200.8,0.018,11153.3,574,6,IR,450,380,520,550,545,1000,
LR Mate 200 iD 7WP ,6,25,7,717,200.8,0.018,11153.3,574,6,IR,450,380,520,550,545,1000,
LR Mate 200 iD ,7,25,7,717,200.8,0.01,20076,574,6,IR,450,380,520,550,545,1000,
LR Mate 200 iD 7L ,8,27,7,911,236.2,0.01,23618.5,531,6,IR,370,310,410,550,545,1000,
LR Mate 200 iD 7LC ,9,27,7,911,236.2,0.018,13121.4,531,6,IR,370,310,410,550,545,1000,
LR Mate 200 iD 14L ,10,27,14,911,472.4,0.01,47237,213,6,IR,120,61,58,400,240,400,
LR-10 iA 10,11,46,10,1101,239.3,0.01,23934.8,428,6,IR,300,230,340,500,400,800,
M-10 iD 8L ,12,180,8,2032,90.3,0.03,3010.4,373,6,IR,210,210,220,430,450,720,
M-10 iD 10L ,13,150,10,1636,109.1,0.03,3635.6,393,6,IR,260,240,260,430,450,720,
M-10 iD 12,14,145,12,1441,119.3,0.02,5962.8,393,6,IR,260,240,260,430,450,720,
M-10 iD 12 Dustproof,15,145,12,1441,119.3,0.02,5962.8,393,6,IR,260,240,260,430,450,720,
M-10 iD 12 Foodgrade,16,145,12,1441,119.3,0.02,5962.8,393,6,IR,260,240,260,430,450,720,
M-10 iD 16S ,17,140,16,1103,126.1,0.02,6302.9,407,6,IR,290,270,270,430,450,730,
M-20 iD 12L ,18,250,12,2272,109.1,0.03,3635.2,379,6,IR,210,210,265,420,450,720,
M-20 iB 25,19,210,25,1853,220.6,0.02,11029.8,397,6,IR,205,205,260,415,415,880,
M-20 iD 25,20,250,25,1831,183.1,0.02,9155,374,6,IR,210,210,265,420,420,720,
M-20 iD 25 Foodgrade,21,250,25,1831,183.1,0.02,9155,374,6,IR,210,210,265,420,420,720,
M-20 iB 25C ,22,210,25,1853,220.6,0.023,9591.1,397,6,IR,205,205,260,415,415,880,
M-20 iB 35S ,23,205,35,1445,246.7,0.02,12335.4,397,6,IR,205,205,260,415,415,880,
M-20 iD 35,24,250,35,1831,256.3,0.03,8544.7,277,6,IR,180,180,200,350,350,400,
M-410 iB 140H ,25,1200,140,2850,332.5,0.2,1662.5,189,5,IR,140,115,135,135,420,,
M-410 iC 110,26,1030,110,2403,256.6,0.5,513.3,209,4,IR,145,130,140,420,,,
