Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type
LBR iisy 3 R760,1,22.8,3.34,760,111.3,0.1,1113.3,266.7,6,cobot
LBR iisy 8 R930,2,43.2,9.6,930,206.7,0.05,4133.3,245,6,cobot
LBR iisy 11 R1300,3,46.3,11.72,1300,329.1,0.05,6581.4,253.3,6,cobot
LBR iisy 15 R930,4,43.2,16.41,930,353.3,0.05,7065.4,245,6,cobot
AGILUS KR 4 R600,5,27,4.63,601,103.1,0.015,6870.7,514.8,6,IR
AGILUS KR 6 R700 CR,6,50,6,706.7,84.8,0.03,2826.8,400.7,6,IR
AGILUS KR 6 R700 HM SC,7,60,6,706.7,70.7,0.03,2355.7,374.3,6,IR
AGILUS KR 6 R700 WP,8,51,6,706.7,83.1,0.03,2771.4,400.7,6,IR
AGILUS KR 6 R700-2,9,53,6.8,726,93.1,0.02,4657.4,410,6,IR
AGILUS KR 6 R900 CR,10,52,6,901.5,104,0.03,3467.3,400.7,6,IR
AGILUS KR 6 R900 EX,11,53,6,901.5,102.1,0.03,3401.9,400.7,6,IR
AGILUS KR 6 R900 HM SC,12,62,6,901.5,87.2,0.03,2908.1,374.3,6,IR
AGILUS KR 6 R900 WP,13,53,6,901.5,102.1,0.03,3401.9,400.7,6,IR
AGILUS KR 6 R900-2,14,55,6.7,901,109.8,0.02,5487.9,410,6,IR
AGILUS KR 10 R1100 CR,15,55,10,1101,200.2,0.03,6672.7,322.3,6,IR
AGILUS KR 10 R1100 EX,16,56,10,1101,196.6,0.03,6553.6,322.3,6,IR
AGILUS KR 10 R1100 HM SC,17,64,10,1101,172,0.03,5734.4,301.2,6,IR
AGILUS KR 10 R1100 WP,18,56,10,1101,196.6,0.03,6553.6,322.3,6,IR
AGILUS KR 10 R900 CR,19,52,10,901.5,173.4,0.03,5778.8,322.3,6,IR
AGILUS KR 10 R900 HM SC,20,62,10,901.5,145.4,0.03,4846.8,301.2,6,IR
AGILUS KR 10 R900 WP,21,53,10,901.5,170.1,0.03,5669.8,322.3,6,IR
AGILUS KR 10 R1100-2,22,55,11.1,1101,222.2,0.02,11110.1,334.7,6,IR
AGILUS KR 10 R900-2,23,55,11.3,901,185.1,0.02,9255.7,334.7,6,IR
LBR iiwa 7 R800,24,23.9,7,800,234.3,0.1,2343.1,132.3,7,cobot
LBR iiwa 7 R800 CR,25,26.1,7,800,214.6,0.1,2145.6,132.3,7,cobot
LBR iiwa 14 R820,26,29.5,14,820,389.2,0.15,2594.4,124.2,7,cobot
LBR iiwa 14 R820 CR,27,32.7,14,820,351.1,0.15,2340.5,124.2,7,cobot
CYBERTECH nano KR 6 R1840 2,28,162,9,1840,102.2,0.04,2555.6,310.7,6,IR
CYBERTECH nano KR 8 R1620,29,165,8,1620,78.5,0.04,1963.6,314,6,IR
CYBERTECH nano KR 8 R1640-2,30,158,12,1640,124.6,0.04,3113.9,310.6,6,IR
CYBERTECH nano KR 10 R1420,31,160,10,1420,88.8,0.04,2218.8,314,6,IR
CYBERTECH nano KR 10 R1440-2,32,153,14.3,1440,134.6,0.04,3364.7,310.7,6,IR
CYBERTECH nano KR 6 R1840-2 arc HW,33,175,12.6,1843,132.7,0.04,3317.4,364.6,6,IR
CYBERTECH nano KR 8 R1420 arc HW,34,179,8,1421,63.5,0.04,1587.7,365,6,IR
CYBERTECH nano KR 8 R1440-2 arc HW,35,167,14.5,1441,125.1,0.04,3127.9,364.7,6,IR
CYBERTECH nano KR 8 R1620 arc HW,36,184,8,1621,70.5,0.04,1762,359.7,6,IR
CYBERTECH nano KR 8 R1640-2 arc HW,37,172,10.7,1641,102.1,0.04,2552.1,364.6,6,IR
CYBERTECH KR 8 R2010-2,38,260,9.8,2013,75.9,0.04,1896.9,342.5,6,IR
CYBERTECH KR 12 R1810-2,39,255,14.5,1813,103.1,0.04,2577.3,342.5,6,IR
CYBERTECH KR 16 R1610-2,40,255,20,1612,126.4,0.04,3160.8,342.5,6,IR
CYBERTECH KR 16 R2010-2,41,260,19.2,2013,148.7,0.04,3716.3,342.5,6,IR
