Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7,ang8
GP4,1,28,4,550,78.6,0.01,7857.1,598,6,IR,465,465,525,565,565,1000,,
GP7,2,37,7,927,175.4,0.01,17537.8,533,6,IR,375,315,410,550,550,1000,,
GP8,3,35,8,727,166.2,0.01,16617.1,577,6,IR,455,385,520,550,550,1000,,
 GP8L,4,155,8,1636,84.4,0.02,4221.9,462,6,IR,260,230,260,470,550,1000,,
GP12,5,150,12,1440,115.2,0.02,5760,398,6,IR,260,230,260,470,470,700,,
GP20,6,250,20,1802,144.2,0.02,7208,374,6,IR,210,210,265,420,420,720,,
GP20HL,7,560,20,3124,111.6,0.07,1593.9,333,6,IR,180,180,180,400,430,630,,
GP25,8,250,25,1730,173,0.02,8650,402,6,IR,210,210,265,420,420,885,,
 GP25-12,9,260,12,2010,92.8,0.03,3092.3,368,6,IR,210,210,220,435,435,700,,
GP35L,10,600,35,2538,148.1,0.07,2115,226,6,IR,180,140,178,250,250,360,,
GP50,11,570,50,2061,180.8,0.03,6026.3,233,6,IR,180,178,178,250,250,360,,
GP70L,12,650,70,2732,294.2,0.05,5884.3,212,6,IR,180,123,160,230,230,350,,
GP88,13,630,88,2236,312.3,0.03,10411,213,6,IR,170,140,160,230,230,350,,
GP110,14,660,110,2236,372.7,0.03,12422.2,164,6,IR,140,110,130,175,175,255,,
GP180-120,15,1090,120,3058,336.7,0.05,6733.2,165,6,IR,125,115,125,182,175,265,,
GP180,16,1020,180,2702,476.8,0.05,9536.5,165,6,IR,125,115,125,182,175,265,,
GP215,17,1340,215,2912,467.2,0.05,9344.5,120,6,IR,100,90,97,120,120,190,,
GP215-200T,18,1360,200,2676,393.5,0.05,7870.6,120,6,IR,100,90,97,120,120,190,,
GP225,19,1080,225,2702,562.9,0.05,11258.3,140,6,IR,120,97,115,145,145,220,,
GP250,20,1345,250,2710,503.7,0.05,10074.3,120,6,IR,100,90,97,120,120,190,,
GP280,21,1300,280,2446,526.8,0.05,10536.6,113,6,IR,90,80,90,115,110,190,,
GP400,22,2840,400,2942,414.4,0.1,4143.7,105,6,IR,102,97,97,80,80,172,,
GP600,23,3035,600,2942,581.6,0.1,5816.1,95,6,IR,82,82,82,80,80,162,,
GP4 FGG,24,28,4,550,78.6,0.01,7857.1,598,6,IR,465,465,525,565,565,1000,,
GP7 FGG,25,37,7,927,175.4,0.01,17537.8,533,6,IR,375,315,410,550,550,1000,,
GP8 FGG,26,35,8,727,166.2,0.01,16617.1,577,6,IR,455,385,520,550,550,1000,,
GP8 FGG HS,27,35,8,727,166.2,0.01,16617.1,577,6,IR,455,385,520,550,550,1000,,
GP12 FGG,28,155,12,1440,111.5,0.02,5574.2,398,6,IR,260,230,260,470,470,700,,
 GP25 FGG,29,265,25,1730,163.2,0.02,8160.4,402,6,IR,210,210,265,420,420,885,,
GP50 FGG,30,585,50,2061,176.2,0.03,5871.8,173,6,IR,180,178,178,150,150,200,,
GP180 FGG,31,1020,180,2702,476.8,0.05,9536.5,165,6,IR,125,115,125,182,175,265,,
SIA5F,32,30,5,559,93.2,0.06,1552.8,226,6,IR,200,200,200,200,200,230,350,
SIA10F,33,60,10,720,120,0.06,2000,211,6,IR,170,170,170,170,200,200,400,
SIA20F,34,120,20,910,151.7,0.1,1516.7,200,6,IR,130,130,170,170,200,200,400,
SDA5F,35,110,10,845,76.8,0.06,1280.3,220,15,IR,180,200,200,200,200,200,230,350
 SDA10F,36,220,20,720,65.5,0.1,654.5,201,15,IR,130,170,170,170,170,200,200,400
SDA20F,37,380,40,1323,139.3,0.1,1392.6,191,15,IR,125,130,130,170,170,200,200,400
MotoMINI,38,7,0.5,350,25,0.02,1250,475,6,IR,315,315,420,600,600,600,,
 MPK2F,39,72,2,900,25,0.5,50,528,5,IR,90,80,90,380,2000,,,
MPK2F-5,40,72,5,900,62.5,0.5,125,672,5,IR,320,330,330,380,2000,,,
MPX1150,41,57,5,727,63.8,0.02,3188.6,0,6,IR,,,,,,,,
MPX1950,42,265,7,1450,38.3,0.15,255.3,300,6,IR,180,180,180,360,400,500,,
MPO10,43,350,10,1400,40,0.15,266.7,253,3,IR,130,130,500,,,,,
MPX3500,44,560,15,2700,72.3,0.15,482.1,222,6,IR,100,100,110,300,360,360,,
MPX2600,45,485,15,2000,61.9,0.2,309.3,240,6,IR,120,120,120,360,360,360,,
AR900,46,37,7,927,175.4,0.01,17537.8,533,6,IR,375,315,410,550,550,1000,,
AR700,47,35,8,727,166.2,0.01,16617.1,572,6,IR,455,385,520,520,550,1000,,
AR2010,48,260,12,2010,92.8,0.03,3092.3,368,6,IR,210,210,220,435,435,700,,
AR3120,49,560,20,3124,111.6,0.07,1593.9,333,6,IR,180,180,180,400,430,630,,
AR1730,50,250,25,1730,173,0.02,8650,402,6,IR,210,210,265,420,420,885,,
HC10DTP Classic,51,48,10,1370,285.4,0.05,5708.3,187,6,cobot,130,130,180,180,250,250,,
HC10DTP,52,58,10,1379,237.8,0.05,4755.2,187,6,cobot,130,130,180,180,250,250,,
HC10DTFP,53,58,10,1370,236.2,0.05,4724.1,187,6,cobot,130,130,180,180,250,250,,
HC20DTP,54,140,20,1900,271.4,0.05,5428.6,128,6,cobot,80,80,120,130,180,180,,
HC20SDTP,55,97,20,1412,291.1,0.05,5822.7,137,6,cobot,105,90,135,130,180,180,,
HC30PL,56,140,30,1700,364.3,0.05,7285.7,117,6,cobot,80,80,120,112,132,180,,
PL80,57,565,80,2061,291.8,0.03,9727.4,244,5,IR,180,180,180,180,500,,,
PL190-100,58,1680,100,3159,188,0.05,3760.7,213,4,IR,140,145,145,420,,,,
PL190,59,1680,190,3159,357.3,0.05,7145.4,213,4,IR,140,145,145,420,,,,
PL320,60,1680,320,3159,601.7,0.05,12034.3,160,4,IR,120,110,110,300,,,,
 PL500,61,2390,500,3159,660.9,0.05,13217.6,113,4,IR,85,85,85,195,,,,
PL800,62,2560,800,3159,987.2,0.05,19743.8,80,4,IR,65,65,65,125,,,,
SP235,63,1345,235,2710,473.5,0.05,9469.9,120,6,IR,100,90,97,120,120,190,,
 SP80,64,630,80,2236,283.9,0.03,9464.6,213,6,IR,170,140,160,230,230,350,,
 SP100,65,660,100,2236,338.8,0.03,11292.9,164,6,IR,140,110,130,175,175,255,,
SP165-105,66,1090,105,3058,294.6,0.05,5891.6,165,6,IR,125,115,125,182,175,265,,
SP150R,67,1760,151.5,3140,270.3,0.05,5405.8,147,6,IR,105,105,105,175,150,240,,
SP165,68,1020,165,2702,437.1,0.05,8741.8,165,6,IR,125,115,125,182,175,265,,
SP185R,69,1830,186.5,3140,320,0.05,6400.1,115,6,IR,90,85,85,120,120,190,,
 SP210,70,1080,210,2702,525.4,0.05,10507.8,140,6,IR,120,97,115,145,145,220,,
CSDA10F,71,220,20,720,65.5,0.1,654.5,201,15,IR,130,170,170,170,170,200,200,400
AR1440,72,150,12,1440,115.2,0.02,5760,398,6,IR,260,230,260,470,470,700,,
GA50,73,855,50,2038,119.2,0.015,7945.4,200,6,IR,150,150,150,250,250,250,,
GP120RL,74,1830,120,4004,262.6,0.2,1312.8,138,6,IR,90,85,85,175,150,240,,
GP165R,75,1760,165,3143,294.7,0.05,5893.1,147,6,IR,105,105,105,175,150,240,,
GP200R,76,1830,200,3140,343.2,0.05,6863.4,115,6,IR,90,85,85,120,120,190,,
GP300R,77,1530,300,3220,631.4,0.2,3156.9,122,6,IR,110,95,95,120,120,190,,
GP400R,78,3560,400,3518,395.3,0.1,3952.8,93,6,IR,80,80,80,80,80,160,,
